Apartment Name,Apartment Type,Available Room,Price,,,Lower Bound,Upper Bound,Price Mean in $,Area,Area in sqft Cleaned,#Beds,#Beds Cleaned,#Baths,#Baths Cleaned,Availability,Ratings,Ratings in starts
The Landing,2 Bed 2 Bath,1-109,"$1,999 ",1999,1999,1999,1999,1999,1060 sqft,1060,2 Beds,2,2 Bath,2 ,May 14,80%,4
The Landing,1 Bed 1 Bath,1-402,$975 ,975,975,975,975,975,750 sqft,750,1 Bed,1,1 Bath,1 ,Jun 12,80%,4
The Landing,1 Bed 1 Bath,1-1102,$999 ,999,999,999,999,999,750 sqft,750,1 Bed,1,1 Bath,1 ,Jun 12,80%,4
The Landing,2 Bed 2.5 Bath,219LIB,"$1,200 ",1200,1200,1200,1200,1200,1506 sqft,1506,2 Beds,2,2.5 Bath,2.5 ,Jul 10,80%,4
The Landing,2 Bed 2 Bath,NA,"$1,165 ",1165,1165,1165,1165,1165,1200+ sqft,1200,2 Beds,2,2 Bath,2 ,Contact,80%,4
The Landing,2 Bed 2.5 Bath,NA,"$1,415 ",1415,1415,1415,1415,1415,1762+ sqft,1762,2 Beds,2,2.5 Bath,2.5 ,Contact,80%,4
The Landing,3 Bed 2.5 Bath,NA,"$1,485 ",1485,1485,1485,1485,1485,2005+ sqft,2005,3 Beds,3,2.5 Bath,2.5 ,Contact,80%,4
Yorktown Colony,Hawthorne,NA,$790 ,790,790,790,790,790,1062+ sqft,1062,2 Beds,2,1.5 Bath,1.5 ,1 Available,70%,3.5
Yorktown Colony,Huntington,NA,$805 ,805,805,805,805,805,1089+ sqft,1089,2 Beds,2,1.5 Bath,1.5 ,1 Available,70%,3.5
Yorktown Colony,Remington,NA,$930 ,930,930,930,930,930,1253+ sqft,1253,3 Beds,3,1.5 Bath,1.5 ,3 Available,70%,3.5
Yorktown Colony,Waverly,NA,$960 ,960,960,960,960,960,1285+ sqft,1285,3 Beds,3,1.5 Bath,1.5 ,4 Available,70%,3.5
Yorktown Colony,Wentworth,NA,"$920–$1,015","920–1,015","920–1,015",920,"1,015",967.5,1350+ sqft,1350,3 Beds,3,1.5 Bath,1.5 ,1 Available,70%,3.5
Yorktown Colony,Worthington,NA,"$1,075 ",1075,1075,1075,1075,1075,1350+ sqft,1350,4 Beds,4,2 Bath,2 ,3 Available,70%,3.5
Yorktown Colony,Dorchester,NA,$755–$785,755–785,755–785,755,785,770,922+ sqft,922,2 Beds,2,2 Bath,2 ,May 11,70%,3.5
Yorktown Colony,Buchanan,NA,$599 ,599,599,599,599,599,576+ sqft,576,1 Bed,1,1 Bath,1 ,Jun 11,70%,3.5
Yorktown Colony,Cambridge,NA,$625 ,625,625,625,625,625,635+ sqft,635,1 Bed,1,1 Bath,1 ,Jun 12,70%,3.5
Yorktown Colony,Hanover,NA,$735–$765,735–765,735–765,735,765,750,1037+ sqft,1037,2 Beds,2,1.5 Bath,1.5 ,Jun 13,70%,3.5
Yorktown Colony,Wellington,NA,$890 ,890,890,890,890,890,1285+ sqft,1285,3 Beds,3,2 Bath,2 ,Jun 13,70%,3.5
Yorktown Colony,Bancroft,NA,$535 ,535,535,535,535,535,486+ sqft,486,Studio,Studio,1 Bath,1 ,Jul 06,70%,3.5
Yorktown Colony,Charleston,NA,$709 ,709,709,709,709,709,864+ sqft,864,2 Beds,2,1 Bath,1 ,Jul 11,70%,3.5
Yorktown Colony,Fairmont,NA,$765 ,765,765,765,765,765,956+ sqft,956,2 Beds,2,2 Bath,2 ,Jul 12,70%,3.5
Yorktown Colony,McKinley,NA,$790–$875,790–875,790–875,790,875,832.5,1173+ sqft,1173,2 Beds,2,1.5 Bath,1.5 ,Jul 18,70%,3.5
Georgetown Of Kettering,Fairfax,NA,From $675,From 675, 675, 675, 675,675,750+ sqft,750,1 Bed,1,1 Bath,1 ,Contact,60%,3
Georgetown Of Kettering,Franklin,NA,From $675,From 675, 675, 675, 675,675,750+ sqft,750,1 Bed,1,1 Bath,1 ,Contact,60%,3
Georgetown Of Kettering,Emerson,NA,From $720,From 720, 720, 720, 720,720,800+ sqft,800,1 Bed,1,1 Bath,1 ,Contact,60%,3
Georgetown Of Kettering,Hawthorne,NA,From $792,From 792, 792, 792, 792,792,950+ sqft,950,1 Bed,1,1 Bath,1 ,Contact,60%,3
Georgetown Of Kettering,Smithville,NA,$792–$815,792–815,792–815,792,815,803.5,900+ sqft,900,1 Bed,1,1.5 Bath,1.5 ,Contact,60%,3
Georgetown Of Kettering,Webster,NA,From $800,From 800, 800, 800, 800,800,950+ sqft,950,2 Beds,2,1 Bath,1 ,Contact,60%,3
Georgetown Of Kettering,Essex,NA,From $820,From 820, 820, 820, 820,820,950+ sqft,950,2 Beds,2,1 Bath,1 ,Contact,60%,3
Georgetown Of Kettering,Williamsburg,NA,$848–$949,848–949,848–949,848,949,898.5,1050+ sqft,1050,2 Beds,2,1.5 Bath,1.5 ,Contact,60%,3
Georgetown Of Kettering,Monticello,NA,From $999,From 999, 999, 999, 999,999,1225+ sqft,1225,2 Beds,2,1.5 Bath,1.5 ,Contact,60%,3
Georgetown Of Kettering,Columbia,NA,From $924,From 924, 924, 924, 924,924,1225+ sqft,1225,2 Beds,2,2 Bath,2 ,Contact,60%,3
Georgetown Of Kettering,Astor,NA,From $999,From 999, 999, 999, 999,999,1225+ sqft,1225,2 Beds,2,2 Bath,2 ,Contact,60%,3
Georgetown Of Kettering,Danbury,NA,From $999,From 999, 999, 999, 999,999,1281+ sqft,1281,2 Beds,2,2 Bath,2 ,Contact,60%,3
Georgetown Of Kettering,Addison,NA,"$1,045–$1,180","1,045–1,180","1,045–1,180","1,045","1,180",1112.5,1300+ sqft,1300,3 Beds,3,1.5 Bath,1.5 ,Contact,60%,3
Georgetown Of Kettering,Princeton,NA,"From $1,025","From 1,025"," 1,025"," 1,025"," 1,025",1025,1100+ sqft,1100,3 Beds,3,2.5 Bath,2.5 ,Contact,60%,3
Georgetown Of Kettering,Hampton,NA,"From $1,200","From 1,200"," 1,200"," 1,200"," 1,200",1200,1500+ sqft,1500,3 Beds,3,2.5 Bath,2.5 ,Contact,60%,3
